img_id,label
5161,Apparel
5738,Apparel
22186,Apparel
23689,Accessories
43659,Apparel
14782,Apparel
24073,Apparel
7298,Apparel
2319,Apparel
11770,Accessories
29701,Personal Care
11990,Personal Care
19856,Apparel
26993,Apparel
35630,Accessories
23387,Footwear
11914,Personal Care
847,Apparel
12188,Accessories
41272,Accessories
21143,Apparel
9764,Apparel
2089,Accessories
8227,Footwear
27684,Apparel
21487,Footwear
13626,Apparel
23887,Apparel
28973,Apparel
27313,Apparel
34098,Accessories
19886,Apparel
8645,Footwear
8508,Apparel
26297,Apparel
2252,Apparel
39701,Footwear
22138,Apparel
24230,Apparel
31205,Apparel
7280,Accessories
11897,Accessories
21273,Footwear
3385,Apparel
22554,Footwear
2417,Footwear
34291,Footwear
15930,Apparel
40440,Apparel
23276,Apparel
37164,Footwear
19109,Apparel
3022,Apparel
15825,Apparel
11195,Accessories
38739,Footwear
16893,Accessories
34362,Apparel
17088,Apparel
29773,Apparel
8963,Apparel
12924,Footwear
17467,Apparel
41604,Apparel
6206,Apparel
37193,Personal Care
7328,Footwear
4816,Accessories
38896,Apparel
10053,Footwear
32704,Apparel
40346,Apparel
7668,Footwear
6939,Accessories
10491,Accessories
24572,Footwear
13581,Apparel
39769,Apparel
23572,Apparel
18154,Accessories
4497,Footwear
35786,Apparel
20374,Footwear
29167,Apparel
38168,Apparel
17935,Apparel
6994,Apparel
8812,Accessories
11350,Apparel
10956,Apparel
12316,Accessories
20571,Apparel
43089,Footwear
20367,Apparel
37792,Accessories
13962,Apparel
22565,Personal Care
32890,Accessories
1891,Apparel
11893,Footwear
6529,Apparel
2981,Apparel
41269,Footwear
37526,Accessories
31030,Accessories
15967,Apparel
4002,Accessories
32685,Apparel
1056,Apparel
7614,Apparel
20360,Footwear
18251,Apparel
43443,Accessories
24067,Apparel
22163,Footwear
5230,Footwear
17140,Accessories
1100,Apparel
16806,Apparel
22704,Apparel
10607,Accessories
16921,Apparel
38199,Accessories
33097,Apparel
38439,Personal Care
19390,Accessories
37990,Apparel
6911,Personal Care
7414,Apparel
11505,Accessories
13401,Accessories
17383,Apparel
40926,Accessories
38132,Accessories
36015,Accessories
19853,Apparel
14157,Accessories
12277,Apparel
39048,Accessories
27464,Personal Care
37514,Apparel
43651,Apparel
14882,Apparel
28574,Accessories
24371,Apparel
17232,Accessories
18377,Apparel
13461,Apparel
29148,Apparel
42052,Accessories
38530,Apparel
40249,Apparel
1822,Accessories
31994,Apparel
15526,Apparel
12365,Apparel
15191,Apparel
24561,Footwear
21953,Footwear
25620,Footwear
16666,Accessories
24042,Accessories
7773,Apparel
28752,Footwear
18908,Personal Care
10184,Accessories
9585,Accessories
15135,Apparel
38473,Apparel
494,Apparel
39642,Footwear
40373,Footwear
7720,Footwear
42464,Footwear
30950,Accessories
22652,Footwear
15802,Apparel
14672,Accessories
34450,Accessories
33883,Accessories
16095,Footwear
34382,Accessories
11752,Apparel
40078,Accessories
32140,Accessories
7097,Apparel
41135,Apparel
17024,Apparel
19305,Apparel
17487,Apparel
33981,Apparel
32971,Accessories
24628,Accessories
29787,Accessories
26131,Personal Care
38911,Footwear
25650,Apparel
8190,Apparel
18033,Apparel
25714,Apparel
5356,Apparel
26122,Apparel
33398,Personal Care
29363,Apparel
88,Apparel
34712,Apparel
17261,Accessories
32381,Apparel
32153,Apparel
29918,Accessories
22666,Apparel
20353,Accessories
39493,Accessories
24335,Personal Care
15769,Apparel
25820,Footwear
7851,Footwear
37979,Accessories
5435,Footwear
11612,Accessories
1569,Footwear
32309,Accessories
7840,Accessories
24762,Footwear
6464,Footwear
8072,Accessories
4162,Accessories
33049,Apparel
19068,Apparel
42273,Apparel
11892,Accessories
33517,Accessories
29286,Apparel
40451,Apparel
21741,Footwear
16201,Accessories
16618,Accessories
8235,Footwear
15127,Apparel
19180,Accessories
26853,Apparel
31673,Footwear
26660,Personal Care
32113,Apparel
33258,Apparel
32581,Apparel
7117,Footwear
10923,Accessories
1277,Apparel
8521,Apparel
3155,Accessories
13553,Accessories
7152,Footwear
10982,Apparel
40777,Accessories
38375,Accessories
35117,Accessories
37557,Footwear
10906,Footwear
15347,Footwear
29504,Accessories
10727,Footwear
20006,Accessories
3269,Apparel
36400,Apparel
2493,Apparel
24389,Personal Care
4406,Accessories
28076,Accessories
11743,Footwear
19597,Apparel
5953,Footwear
11286,Footwear
41514,Accessories
29659,Apparel
30973,Personal Care
3472,Apparel
33741,Footwear
10442,Apparel
18626,Apparel
28149,Apparel
32500,Apparel
14871,Footwear
22258,Apparel
22754,Apparel
15973,Apparel
24630,Accessories
37402,Apparel
13640,Accessories
18985,Apparel
13611,Apparel
34931,Accessories
23429,Apparel
1242,Footwear
17512,Apparel
38042,Footwear
22919,Apparel
20399,Footwear
38391,Apparel
28860,Apparel
15100,Footwear
25774,Accessories
29111,Accessories
24126,Apparel
25223,Footwear
25947,Accessories
4848,Accessories
7339,Apparel
9162,Footwear
26927,Apparel
41254,Apparel
41543,Footwear
9305,Apparel
19580,Apparel
19523,Apparel
13376,Accessories
36862,Footwear
22575,Apparel
13161,Apparel
8477,Personal Care
19022,Accessories
13657,Apparel
19551,Apparel
40045,Personal Care
22468,Apparel
30105,Apparel
13431,Apparel
39442,Apparel
22433,Footwear
31396,Apparel
12238,Footwear
32911,Accessories
13352,Accessories
16042,Apparel
3745,Apparel
38352,Apparel
16062,Footwear
12298,Apparel
273,Accessories
28990,Apparel
875,Footwear
3682,Apparel
40955,Footwear
29749,Accessories
41425,Accessories
13249,Apparel
41692,Footwear
34873,Accessories
8633,Apparel
24387,Accessories
32447,Footwear
1168,Apparel
17460,Apparel
4462,Accessories
20051,Accessories
4950,Accessories
20255,Personal Care
14664,Accessories
3023,Accessories
12720,Apparel
38181,Personal Care
41641,Personal Care
31234,Footwear
17507,Apparel
2240,Accessories
9248,Footwear
37455,Apparel
28883,Apparel
26933,Footwear
32293,Footwear
32740,Apparel
7813,Apparel
26510,Accessories
37981,Apparel
24229,Apparel
2739,Apparel
15919,Accessories
16739,Apparel
14573,Accessories
29423,Apparel
10704,Footwear
8892,Apparel
28889,Apparel
26802,Apparel
7915,Accessories
6114,Accessories
38301,Footwear
41884,Apparel
4578,Apparel
35405,Footwear
32232,Apparel
21159,Personal Care
22008,Accessories
20833,Personal Care
43249,Apparel
25,Accessories
12429,Apparel
32810,Accessories
37387,Accessories
22221,Footwear
27271,Apparel
34970,Apparel
27009,Accessories
28243,Apparel
39297,Apparel
38902,Apparel
956,Footwear
40930,Accessories
30311,Apparel
43600,Apparel
